oz0	cumleSay
oz1	kelimeSay
oz2	harfSay
oz3	devrikCumle
oz4	ekSay
oz5	cumleOrtKelime
oz6	kelimeOrtHarf
oz7	cumleOrtEK
oz8	kelimeOrtEK
oz9	ucNoktaSay
oz10	noktaSay
oz11	soruSay
oz12	unlemSay
oz13	boslukSay
oz14	virgulSay
oz15	noktaliVirgulSay
oz16	ikiNoktaSay
oz17	tirnakSay
oz18	ustCizgiSay
oz19	TIP_TF_IS
oz20	TIP_TF_FI
oz21	TIP_TF_SI
oz22	TIP_TF_SA
oz23	TIP_TF_YA
oz24	TIP_TF_ZA
oz25	TIP_TF_SO
oz26	TIP_TF_IM
oz27	TIP_TF_ZAMAN
oz28	TIP_TF_HATALI
oz29	TIP_TF_EDAT
oz30	TIP_TF_BAGLAC
oz31	TIP_TF_OZ
oz32	TIP_TF_UN
oz33	TIP_TF_KI
oz34	KOKTFþubat
oz35	KOKTFata
oz36	KOKTFyok
oz37	KOKTFkarar
oz38	KOKTFdoðru
oz39	KOKTFzamanla
oz40	KOKTFyanlýþ
oz41	KOKTFmilli
oz42	KOKTFeðitim
oz43	KOKTFbakan
oz44	KOKTFnimet
oz45	KOKTFçubuk
oz46	KOKTFdaha
oz47	KOKTFönce
oz48	KOKTFde
oz49	KOKTFyaz
oz50	KOKTFgibi
oz51	KOKTFayýn
oz52	KOKTFöðretmen
oz53	KOKTFdüþün
oz54	KOKTFve
oz55	KOKTFbu
oz56	KOKTFböyle
oz57	KOKTFaðustos
oz58	KOKTFtek
oz59	KOKTFdönem
oz60	KOKTFol
oz61	KOKTFaçýkla
oz62	KOKTFhaber
oz63	KOKTFgün
oz64	KOKTFkulis
oz65	KOKTFdolaþ
oz66	KOKTFama
oz67	KOKTFihtimal
oz68	KOKTFver
oz69	KOKTFen
oz70	KOKTFazý
oz71	KOKTFþimdi
oz72	KOKTFuygula
oz73	KOKTFda
oz74	KOKTFgelecek
oz75	KOKTFöðretim
oz76	KOKTFyýl
oz77	KOKTFbaþla
oz78	KOKTFbeklenti
oz79	KOKTFhakim
oz80	KOKTFtam
oz81	KOKTFters
oz82	KOKTFyap
oz83	KOKTFyýlla
oz84	KOKTFgörev
oz85	KOKTFbekle
oz86	KOKTFon
oz87	KOKTFbinlerce
oz88	KOKTFiçin
oz89	KOKTFþok
oz90	KOKTFmoral
oz91	KOKTFçök
oz92	KOKTFyüzde
oz93	KOKTFbir
oz94	KOKTFkez
oz95	KOKTFgözde
oz96	KOKTFgeçir
oz97	KOKTFöss
oz98	KOKTFkaldýr
oz99	KOKTFkatsayý
oz100	KOKTFtartýþma
oz101	KOKTFneden
oz102	KOKTFüniversite
oz103	KOKTFgiriþ
oz104	KOKTFanlam
oz105	KOKTFarapsaç
oz106	KOKTFdön
oz107	KOKTFyapý
oz108	KOKTFtüm
oz109	KOKTFdüzenle
oz110	KOKTFsadece
oz111	KOKTFdershane
oz112	KOKTFiþ
oz113	KOKTFyar
oz114	KOKTFsonuç
oz115	KOKTFsevin
oz116	KOKTFyine
oz117	KOKTFonlar
oz118	KOKTFpeki
oz119	KOKTFöðrenci
oz120	KOKTFyarar
oz121	KOKTFmi
oz122	KOKTFevet
oz123	KOKTFmümkün
oz124	KOKTFdeðil
oz125	KOKTFfazla
oz126	KOKTFbin
oz127	KOKTFdeðiþim
oz128	KOKTFsöz
oz129	KOKTFkonu
oz130	KOKTFki
oz131	KOKTFo
oz132	KOKTFpatýr
oz133	KOKTFzaman
oz134	KOKTFkayýp
oz135	KOKTFmasraf
oz136	KOKTFdeðer
oz137	KOKTFsorgula
oz138	KOKTFgerek
oz139	KOKTFyani
oz140	KOKTFalýn
oz141	KOKTFmeslek
oz142	KOKTFlise
oz143	KOKTFmezun
oz144	KOKTFkendi
oz145	KOKTFalan
oz146	KOKTFdýþ
oz147	KOKTFfakülte
oz148	KOKTForan
oz149	KOKTFcivar
oz150	KOKTFhadi
oz151	KOKTFbiraz
oz152	KOKTFart
oz153	KOKTFelbette
oz154	KOKTFkiþi
oz155	KOKTFbile
oz156	KOKTFçok
oz157	KOKTFönem
oz158	KOKTFya
oz159	KOKTFgeri
oz160	KOKTFkalan
oz161	KOKTFbýrak
oz162	KOKTFharca
oz163	KOKTFpara
oz164	KOKTFkaybet
oz165	KOKTFhayal
oz166	KOKTFne
oz167	KOKTFdönme
oz168	KOKTFmuhtemel
oz169	KOKTFyeni
oz170	KOKTFsistem
oz171	KOKTFumut
oz172	KOKTFtacir
oz173	KOKTFboþ
oz174	KOKTFboþuna
oz175	KOKTFheveslen
oz176	KOKTFöte
oz177	KOKTFiþe
oz178	KOKTFyaramaz
oz179	KOKTFyara
oz180	KOKTFbakýn
oz181	KOKTFkontenjan
oz182	KOKTFkal
oz183	KOKTFhem
oz184	KOKTFiyi
oz185	KOKTFdiye
oz186	KOKTFbildik
oz187	KOKTFdahil
oz188	KOKTForta
oz189	KOKTFyönet
oz190	KOKTFsüreç
oz191	KOKTFvar
oz192	KOKTFyök
oz193	KOKTFösym
oz194	KOKTFmeb
oz195	KOKTFuzak
oz196	KOKTFbil
oz197	KOKTFdilim
oz198	KOKTFmaalesef
oz199	KOKTFzarar
oz200	KOKTFonun
oz201	KOKTFkaos
oz202	KOKTFortam
oz203	KOKTFyarat
oz204	KOKTFsinyal
oz205	KOKTFgel
oz206	KOKTFson
oz207	KOKTFpolitika
oz208	KOKTFyüz
oz209	KOKTFgenç
oz210	KOKTFadeta
oz211	KOKTFküs
oz212	KOKTFyan
oz213	KOKTFplan
oz214	KOKTFprogram
oz215	KOKTFþekil
oz216	KOKTFaçý
oz217	KOKTFsürekli
oz218	KOKTFartýr
oz219	KOKTFistihdam
oz220	KOKTFdurum
oz221	KOKTFsýrala
oz222	KOKTFilk
oz223	KOKTFsýra
oz224	KOKTFotur
oz225	KOKTFaile
oz226	KOKTFdiþ
oz227	KOKTFtýrnak
oz228	KOKTFçocuk
oz229	KOKTFdiploma
oz230	KOKTFal
oz231	KOKTFyol
oz232	KOKTFödül
oz233	KOKTFmadem
oz234	KOKTFöyle
oz235	KOKTFniye
oz236	KOKTFiste
oz237	KOKTFyer
oz238	KOKTFgir
oz239	KOKTFeðer
oz240	KOKTFbazý
oz241	KOKTFüzeri
oz242	KOKTFbaþvuru
oz243	KOKTFfark
oz244	KOKTFformül
oz245	KOKTFgeliþtir
oz246	KOKTFad
oz247	KOKTFsonra
oz248	KOKTFdeðiþ
oz249	KOKTFsýnav
oz250	KOKTFartýk
oz251	KOKTFkurtul
oz252	KOKTFpek
oz253	KOKTFbölüm
oz254	KOKTFyön
oz255	KOKTFkafa
oz256	KOKTFyor
oz257	KOKTFfena
oz258	KOKTFmý
oz259	KOKTFher
oz260	KOKTFaka
oz261	KOKTFmilyar
oz262	KOKTFdolar
oz263	KOKTFmesleki
oz264	KOKTFkurs
oz265	KOKTFkötü
oz266	KOKTFmü
oz267	KOKTFonca
oz268	KOKTFgayret
oz269	KOKTFdoping
oz270	KOKTFraðmen
oz271	KOKTFfen
oz272	KOKTFsoru
oz273	KOKTFtürkiye
oz274	KOKTFortalama
oz275	KOKTFnere
oz276	KOKTFbaþarý
oz277	KOKTFüç
oz278	KOKTFbeþ
oz279	KOKTFzaten
oz280	KOKTFiþte
oz281	KOKTFemek
oz282	KOKTFyazýk
oz283	KOKTFþura
oz284	KOKTFkadar
oz285	KOKTFtartýþ
oz286	KOKTFgeç
oz287	KOKTFhayati
oz288	KOKTFtaþý
oz289	KOKTFtaraf
oz290	KOKTFkatýl
oz291	KOKTFülke
oz292	KOKTFbelirle
oz293	KOKTFyoksa
